Sno.,Purchase Id,Invoice No,Pur.Date,Supplier,Barcode,Category,Item,HSN Code,Tax Type,GST (%),Size,Colour,QTY - ST,Total Qty,Purchase Rate,Disc1(%),Disc1(Rs),Taxable Value,Total Tax,Total Purchase Rate,MRP,Rate
93,140,012/2023-2024,29/04/2023,Dristi Associates,US28,Apparel,Uniform Shorts,,EX-TAX,5,28,Blue,121,121,310,0,0,37510,1875.5,39385.5,520,520
94,140,012/2023-2024,29/04/2023,Dristi Associates,US26,Apparel,Uniform Shorts,,EX-TAX,5,26,Blue,100,100,300,0,0,30000,1500,31500,510,510
95,141,LBH/00,05 August 2023,LUCKY BOOT HOUSE,CRCK1,Stationary,CROCK 1,0,INC-TAX,12,1,White,10,10,220,0,0,1964.28,235.72,2200,339,339
96,141,LBH/00,05 August 2023,LUCKY BOOT HOUSE,CRCK8,Stationary,CROCK 08,0,INC-TAX,12,8,White,12,12,200,0,0,2142.86,257.14,2400,309,309
97,141,LBH/00,05 August 2023,LUCKY BOOT HOUSE,CRCK9,Stationary,CROCK 09,0,INC-TAX,12,9,White,12,12,200,0,0,2142.86,257.14,2400,309,309
98,141,LBH/00,05 August 2023,LUCKY BOOT HOUSE,CRCK10,Stationary,CROCK 10,0,INC-TAX,12,10,White,12,12,200,0,0,2142.86,257.14,2400,309,309
99,141,LBH/00,05 August 2023,LUCKY BOOT HOUSE,CRCK11,Stationary,CROCK 11,0,INC-TAX,12,11,White,9,9,220,0,0,1767.86,212.14,1980,339,339
100,141,LBH/00,05 August 2023,LUCKY BOOT HOUSE,CRCK12,Stationary,CROCK 12,0,INC-TAX,12,12,White,8,8,220,0,0,1571.42,188.58,1760,339,339
101,141,LBH/00,05 August 2023,LUCKY BOOT HOUSE,CRCK13,Stationary,CROCK 13,0,INC-TAX,12,13,White,9,9,220,0,0,1767.86,212.14,1980,339,339
102,143,026/2023-24,26/06/2023,Sai Book House,C6NV,Stationary,Nava Vasantham - 1,,Non GST,0,0,White,144,144,138,0,0,19872,0,19872,138,138
103,143,026/2023-24,26/06/2023,Sai Book House,MAT6,Stationary,Mathematics 6,NCERT,Non GST,0,6,White,182,182,65,0,0,11830,0,11830,65,65
104,143,026/2023-24,26/06/2023,Sai Book House,MAT7,Stationary,Mathematics 7,NCERT,Non GST,0,7,White,214,214,65,0,0,13910,0,13910,65,65
105,143,026/2023-24,26/06/2023,Sai Book House,MAT8,Stationary,Mathematics 8,NCERT,Non GST,0,8,White,180,180,65,0,0,11700,0,11700,60,60
106,143,026/2023-24,26/06/2023,Sai Book House,9ESM,Stationary,9 English Study material,Ever Green,Non GST,0,9,White,143,143,412.5,0,0,58987.5,0,58987.5,550,550
107,143,026/2023-24,26/06/2023,Sai Book House,9SSM,Stationary,9 Science Study material,Ever Green,Non GST,0,9,White,143,143,337.5,0,0,48262.5,0,48262.5,450,450
108,143,026/2023-24,26/06/2023,Sai Book House,9SOSM,Stationary,9 Social Study material,Evere Green,Non GST,0,9,White,143,143,390,0,0,55770,0,55770,520,520
109,143,026/2023-24,26/06/2023,Sai Book House,TELSGD10,Stationary,Singdi2,0,Non GST,0,10,White,121,121,144,0,0,17424,0,17424,144,144
110,143,026/2023-24,26/06/2023,Sai Book House,10ESM,Stationary,10 English Study material,Ever Green,Non GST,0,10,White,161,161,427.5,0,0,68827.5,0,68827.5,570,570
111,143,026/2023-24,26/06/2023,Sai Book House,10SSM,Stationary,10 Science Study Material,Ever Green,Non GST,0,10,White,161,161,390,0,0,62790,0,62790,520,520
112,143,026/2023-24,26/06/2023,Sai Book House,10SOSM,Stationary,10 Social Study Material,Ever Green,Non GST,0,10,White,161,161,412.5,0,0,66412.5,0,66412.5,550,550
113,143,026/2023-24,26/06/2023,Sai Book House,SANCH9,Stationary,SANCHAYAN 9,0,Non GST,0,9,White,29,29,30,0,0,870,0,870,30,30
114,143,026/2023-24,26/06/2023,Sai Book House,SPRS9,Stationary,SPARSH 9,NCERT,Non GST,0,9,White,14,14,50,0,0,700,0,700,50,50
115,143,026/2023-24,26/06/2023,Sai Book House,10SLH,Stationary,10 HINDI SL,Xamidea,Non GST,0,10,White,40,40,337.5,0,0,0,0,13500,450,450
117,144,026-2023-24,26/06/2023,Shree Digital,STWB,Stationary,Student Work Book,0,EX-TAX,0,0,White,1015,1015,120,0,0,121800,0,121800,150,150
118,146,026-2023-24,26/06/2023,Meher Book Depot,DWBK,Stationary,Drawing Book,0,EX-TAX,12,0,White,840,840,39.6,0,0,33264,3991.68,37255.68,55,55
119,147,026-2023-24,26/06/2023,Moon Xerox,9CWS,Stationary,9 Computer work sheet,0,Non GST,0,9,White,124,124,324,0,0,40176,0,40176,350,350
120,147,026-2023-24,26/06/2023,Moon Xerox,10MWS,Stationary,10 Maths Work sheet,0,Non GST,0,10,White,159,159,136.35,0,0,21679.65,0,21679.65,175,175
121,147,026-2023-24,26/06/2023,Moon Xerox,10CWS,Stationary,10 Computer work sheet,0,Non GST,0,10,White,159,159,324,0,0,51516,0,51516,350,350
122,142,041/2023-2024,14/07/2023,Dristi Associates,UJ24,Apparel,Jeans,0,EX-TAX,5,24,Blue,147,147,565,0,0,83054.99,4152.76,87207.75,790,790
123,142,041/2023-2024,14/07/2023,Dristi Associates,UJ26,Apparel,Jeans,,EX-TAX,5,26,Blue,18,18,590,0,0,10620,531,11151,810,810
124,142,041/2023-2024,14/07/2023,Dristi Associates,UJ28,Apparel,Jeans,,EX-TAX,5,28,Blue,30,30,600,0,0,18000,900,18900,830,830
125,142,041/2023-2024,14/07/2023,Dristi Associates,UJ30,Apparel,Jeans,,EX-TAX,5,30,Blue,29,29,630,0,0,18270,913.5,19183.5,880,880
126,145,0,18/07/2023,Gajanan,CRN200,Stationary,Crown 200 PGS,0,EX-TAX,12,200,White,780,780,37.5,0,0,29250,3510,32760,60,60
127,148,,20/11/2023,NEW LITTLE STARS,LSOC5,Apparel,SOCKS 05,6115,EX-TAX,5,5,GREY,105,105,65,0,0,6825.01,341.24,7166.25,100,100
128,148,,20/11/2023,NEW LITTLE STARS,LSOC6,Apparel,SOCKS 06,6115,EX-TAX,5,6,GREY,111,111,65,0,0,7214.99,360.76,7575.75,100,100
129,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD20,Apparel,Hoodies,61102000,EX-TAX,5,20,Gray,12,12,380,0,0,4560,228,4788,640,640
130,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD22,Apparel,Hoodies,61102000,EX-TAX,5,22,Gray,102,102,380,0,0,38760,1938,40698,640,640
131,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD24,Apparel,Hoodies,61102000,EX-TAX,5,24,Gray,142,142,400,0,0,56800,2840,59640,660,660
132,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD26,Apparel,Hoodies,61102000,EX-TAX,5,26,Gray,63,63,425,0,0,26774.99,1338.76,28113.75,680,680
133,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD28,Apparel,Hoodies,61102000,EX-TAX,5,28,Gray,158,158,435,0,0,68730,3436.5,72166.5,700,700
134,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD30,Apparel,Hoodies,61102000,EX-TAX,5,30,Gray,128,128,445,0,0,56960,2848,59808,720,720
135,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD32,Apparel,Hoodies,61102000,EX-TAX,5,32,Gray,66,66,455,0,0,30030,1501.5,31531.5,730,730
136,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD34,Apparel,Hoodies,61102000,EX-TAX,5,34,Gray,71,71,465,0,0,33014.99,1650.76,34665.75,740,740
137,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD36,Apparel,Hoodies,61102000,EX-TAX,5,36,Gray,39,39,475,0,0,18525.01,926.24,19451.25,760,760
